outfitter "Unfettered Basics"
# engines that combine afterburner thrust and steering, small and big
# korath asteroid afterburner + small engine and reverser (9+22+18)
outfit "Overtuned Engine (Skirmisher)"
	category "Engines"
	thumbnail "outfit/tiny atomic engines hai"
	"cost" 450000
	"mass" 49
	"outfit space" -30
	"engine capacity" -30
	"required crew" 1
	"thrust" 7.3
	"thrusting energy" .87
	"thrusting heat" 1.7
	"turn" 244
	"turning energy" .64
	"turning heat" 1.28
	"flare sprite" "effect/atomic flare/tiny"
		"frame rate" 14
	"flare sound" "atomic tiny"
	"steering flare sprite" "effect/atomic flare/tiny"
		"frame rate" 14
	"steering flare sound" "atomic tiny"
	
	"reverse thrust" 12.5
	"reverse thrusting energy" 1.4
	"reverse thrusting heat" 2.8
	"reverse flare sprite" "effect/atomic flare/tiny"
		"frame rate" 14
	"reverse flare sound" "atomic tiny"
	
	"fuel capacity" 100
	"ramscoop" 0.25
	"afterburner thrust" 19.2
	"afterburner energy" 0.6
	"afterburner heat" 6.25
	"afterburner fuel" 0.03
	"afterburner effect" "korath afterburner tiny"
	description "This is a very specific kind of engine, that combines everything into one package. You can tell it used to be a standard Hai engine, but the Unfettered did many modifications, allowing it to go in some sort of overtuned mode, to make it possible to bring the Bombs as close to the enemy as quickly as possible."
	description "	Because of how unstable these engines tend to be, given they were not meant to fit together in this way, the Unfettered always have an engineer present to monitor their status and prevent them from exploding."

# comet afterburner + `"Benga" Reverse Thruster` + `"Bufaer" Atomic Steering` + `"Bondir" Atomic Thruster`
# 32 + 28 + 76 + 63
outfit "Overtuned Engine (Predator)"
	category "Engines"
	cost 5000000
	thumbnail "outfit/large atomic hai"
	mass 180
	"outfit space" -145
	"engine capacity" -145
	"required crew" 5

	"thrust" 62.8
	"thrusting energy" 6.1
	"thrusting heat" 12.7
	"flare sprite" "effect/atomic flare/medium"
		"frame rate" 12
	"flare sound" "atomic medium"

	"turn" 2967
	"turning energy" 5.2
	"turning heat" 13.8
	"steering flare sprite" "effect/atomic flare/large"
		"frame rate" 11
	"steering flare sound" "atomic large"
	
	"reverse thrust" 22.4
	"reverse thrusting energy" 2.5
	"reverse thrusting heat" 4.8
	"reverse flare sprite" "effect/atomic flare/tiny"
		"frame rate" 14
	"reverse flare sound" "atomic tiny"

	"afterburner thrust" 148.8
	"afterburner energy" 3.9
	"afterburner heat" 41.65
	"afterburner fuel" 0.18
	"afterburner effect" "korath afterburner medium"
	description "This engine combines all in one: steering, thrust, power, reversers and instability. This truly allows Unfettered to dance with their ships, moving around as they please."
	description "	Because of how unstable these engines tend to be, given they were not meant to fit together in this way, the Unfettered always have a team of engineers present to monitor their status and prevent them from exploding."
